來源,原檔名,整理後路徑
自製彩色圖,1.png,01_水洗/wash_general_color.png
自製彩色圖,2.png,01_水洗/wash_60_color.png
自製彩色圖,3.png,01_水洗/wash_40_gentle_color.png
自製彩色圖,4.png,01_水洗/wash_40_very_gentle_color.png
自製彩色圖,5.png,01_水洗/wash_hand_color.png
自製彩色圖,6.png,01_水洗/wash_no_color.png
自製彩色圖,24.png,02_漂白/bleach_general_color.png
自製彩色圖,25.png,02_漂白/bleach_no_chlorine_color.png
自製彩色圖,26.png,02_漂白/bleach_no_color.png
自製彩色圖,12.png,03_烘乾/tumble_general_color.png
自製彩色圖,13.png,03_烘乾/tumble_low_color.png
自製彩色圖,14.png,03_烘乾/tumble_high_color.png
自製彩色圖,15.png,03_烘乾/tumble_no_color.png
自製彩色圖,16.png,04_扭擰/wring_yes_color.png
自製彩色圖,17.png,04_扭擰/wring_no_color.png
自製彩色圖,18.png,05_吊掛/hang_dry_color.png
自製彩色圖,19.png,05_吊掛/hang_shade_color.png
自製彩色圖,20.png,05_吊掛/hang_no_color.png
自製彩色圖,21.png,06_平放/flat_dry_color.png
自製彩色圖,22.png,06_平放/flat_shade_color.png
自製彩色圖,23.png,06_平放/flat_no_color.png
自製彩色圖,27.png,07_熨燙/iron_general_color.png
自製彩色圖,28.png,07_熨燙/iron_low_color.png
自製彩色圖,29.png,07_熨燙/iron_medium_color.png
自製彩色圖,30.png,07_熨燙/iron_high_color.png
自製彩色圖,31.png,07_熨燙/iron_no_color.png
自製彩色圖,7.png,08_乾洗/dryclean_petroleum_color.png
自製彩色圖,8.png,08_乾洗/dryclean_F_color.png
自製彩色圖,9.png,08_乾洗/dryclean_A_color.png
自製彩色圖,10.png,08_乾洗/dryclean_no_color.png
自製彩色圖,11.png,08_乾洗/dryclean_P_gentle_color.png
課本黑白挑戰圖,03.jpg,01_水洗/wash_95_textbook.jpg
課本黑白挑戰圖,04.jpg,01_水洗/wash_95_gentle_textbook.jpg
課本黑白挑戰圖,05.jpg,01_水洗/wash_40_very_gentle_textbook.jpg
課本黑白挑戰圖,06.jpg,01_水洗/wash_hand_textbook.jpg
課本黑白挑戰圖,07.jpg,01_水洗/wash_no_textbook.jpg
課本黑白挑戰圖,40.jpg,01_水洗/wash_60_gentle_textbook.jpg
課本黑白挑戰圖,18.jpg,02_漂白/bleach_general_textbook.jpg
課本黑白挑戰圖,20.jpg,02_漂白/bleach_no_textbook.jpg
課本黑白挑戰圖,21.jpg,02_漂白/bleach_nonchlorine_textbook.jpg
課本黑白挑戰圖,23.jpg,03_烘乾/tumble_high_textbook.jpg
課本黑白挑戰圖,24.jpg,03_烘乾/tumble_low_textbook.jpg
課本黑白挑戰圖,25.jpg,03_烘乾/tumble_no_textbook.jpg
課本黑白挑戰圖,36.jpg,04_熨燙/iron_high_textbook.jpg
課本黑白挑戰圖,37.jpg,04_熨燙/iron_medium_textbook.jpg
課本黑白挑戰圖,38.jpg,04_熨燙/iron_low_textbook.jpg
課本黑白挑戰圖,39.jpg,04_熨燙/iron_no_textbook.jpg
